"","timepoints","n.samples","clim.signal.ann","clim.timepoints.ssr","proxy.bt","proxy.bt.sb","proxy.bt.sb.sampY","proxy.bt.sb.sampYM","proxy.bt.sb.inf.b","proxy.bt.sb.inf.b.n","proxy.bt.sb.sampYM.b","proxy.bt.sb.sampYM.b.n","simulated.proxy","simulated.proxy.cal.err","reconstructed.climate"
"1",4334,1e+05,28.0116439819336,27.9449392954509,4.73006110967009,4.64510362595071,4.64487536966151,4.64517742095009,NA,NA,NA,4.64517742095009,4.64517742095009,4.64517742095009,27.8157065990242
"2",4527,1e+05,27.5724782307943,27.9137519836426,4.72440704831823,4.63851574632418,4.6384582692972,4.64028567184175,NA,NA,NA,4.64028567184175,4.64028567184175,4.64028567184175,27.803999531244
"3",4576,1e+05,27.9961944580078,27.9028585561117,4.72283970778371,4.63679501769699,4.63667374111103,4.63560272828597,NA,NA,NA,4.63560272828597,4.63560272828597,4.63560272828597,27.7927806143378
"4",4721,1e+05,27.933969116211,27.9373404947917,4.71757559172955,4.63078648864366,4.63060393427443,4.6293149949188,NA,NA,NA,4.6293149949188,4.6293149949188,4.6293149949188,27.7776992683631
"5",4914,1e+05,27.8284825642904,27.8820936584473,4.71966338589109,4.63202953614737,4.63185807649246,4.6309008452559,NA,NA,NA,4.6309008452559,4.6309008452559,4.6309008452559,27.7815049160451
"6",4994,1e+05,28.0057947794597,27.9161633300781,4.7131770107023,4.62527288233979,4.6255926107833,4.62466918579896,NA,NA,NA,4.62466918579896,4.62466918579896,4.62466918579896,27.7665429697008
"7",5092,1e+05,28.0741312662761,27.893712310791,4.71150026877348,4.62400221216746,4.62377114128035,4.62325734315846,NA,NA,NA,4.62325734315846,4.62325734315846,4.62325734315846,27.7631503950468
"8",5156,1e+05,27.8540766398112,27.8546021016439,4.70877783691941,4.6212286067416,4.62096675803626,4.61889084750883,NA,NA,NA,4.61889084750883,4.61889084750883,4.61889084750883,27.7526514026182
"9",5254,1e+05,27.7207224527995,27.8723602549235,4.70859766276463,4.62084500267598,4.62101516394296,4.62204638538211,NA,NA,NA,4.62204638538211,4.62204638538211,4.62204638538211,27.7602397093893
"10",5318,1e+05,27.8700780232748,27.8367804718018,4.70299431910054,4.61444898911516,4.61419861754907,4.61697931907941,NA,NA,NA,4.61697931907941,4.61697931907941,4.61697931907941,27.7480521164239
"11",5416,1e+05,27.6509897867839,27.887500559489,4.6974254650001,4.60856199893654,4.60869771265752,4.61212083806733,NA,NA,NA,4.61212083806733,4.61212083806733,4.61212083806733,27.7363536568939
"12",5480,1e+05,27.8503840128581,27.8517432403565,4.6992987354025,4.61064643565114,4.61074182440268,4.60864938264778,NA,NA,NA,4.60864938264778,4.60864938264778,4.60864938264778,27.7279873864452
"13",5578,1e+05,27.9356246948242,27.8793035888672,4.69657422997003,4.60694953676135,4.60739886842954,4.60886129531668,NA,NA,NA,4.60886129531668,4.60886129531668,4.60886129531668,27.7284982803931
"14",5642,1e+05,27.8700551350912,27.8661026763916,4.69775539955754,4.60777401049762,4.6074819002676,4.59997154169921,NA,NA,NA,4.59997154169921,4.59997154169921,4.59997154169921,27.7070460350054
"15",5740,1e+05,27.6894190470378,27.8184849802653,4.69341341932344,4.6025410356765,4.6022801874229,4.60219468595141,NA,NA,NA,4.60219468595141,4.60219468595141,4.60219468595141,27.7124146846629
"16",5804,1e+05,27.7054331461589,27.8440106455485,4.69156176567534,4.60045433034113,4.60070973209004,4.59714811345607,NA,NA,NA,4.59714811345607,4.59714811345607,4.59714811345607,27.700224023966
"17",5902,1e+05,27.7903254191081,27.833877512614,4.6876262352746,4.59594912145808,4.59623383005128,4.59833712291078,NA,NA,NA,4.59833712291078,4.59833712291078,4.59833712291078,27.7030974375809
"18",5966,1e+05,27.7457748413086,27.8553422546387,4.6812796541438,4.58929449879703,4.58918809137312,4.58979353436791,NA,NA,NA,4.58979353436791,4.58979353436791,4.58979353436791,27.6824340855918
"19",6031,1e+05,27.7882069905599,27.8097267913819,4.67812823597284,4.58567350578144,4.58550422967636,4.58591250086988,NA,NA,NA,4.58591250086988,4.58591250086988,4.58591250086988,27.6730347877441
"20",6064,1e+05,27.7464869181315,27.805905380249,4.67675896018368,4.58409160604259,4.5840748125885,4.58512141770841,NA,NA,NA,4.58512141770841,4.58512141770841,4.58512141770841,27.671117923625
"21",6128,1e+05,27.9660125732422,27.7813623046875,4.6739802564857,4.58100798069688,4.58049438779337,4.5805197632831,NA,NA,NA,4.5805197632831,4.5805197632831,4.5805197632831,27.6599611486867
"22",6193,1e+05,27.7843694051107,27.7111177062989,4.67099116682188,4.57767776188116,4.57755819766049,4.57718476368444,NA,NA,NA,4.57718476368444,4.57718476368444,4.57718476368444,27.6518683886233
"23",6258,1e+05,27.7757990519206,27.6564547220866,4.66702743607348,4.57338353293847,4.57339611485734,4.57207920569747,NA,NA,NA,4.57207920569747,4.57207920569747,4.57207920569747,27.6394677347225
"24",6290,1e+05,27.6103429158529,27.6566105143229,4.66383424986196,4.56996034131937,4.56994071884401,4.57006038063592,NA,NA,NA,4.57006038063592,4.57006038063592,4.57006038063592,27.6345604830391
