"","timepoints","n.samples","clim.signal.ann","clim.timepoints.ssr","proxy.bt","proxy.bt.sb","proxy.bt.sb.sampY","proxy.bt.sb.sampYM","proxy.bt.sb.inf.b","proxy.bt.sb.inf.b.n","proxy.bt.sb.sampYM.b","proxy.bt.sb.sampYM.b.n","simulated.proxy","simulated.proxy.cal.err","reconstructed.climate"
"1",4334,Inf,28.0116439819336,27.9449392954509,0.965961503565575,0.965961503565575,NA,NA,NA,0.965961503565575,NA,NA,0.965961503565575,0.965961503565575,27.938227380775
"2",4527,Inf,27.5724782307943,27.9137519836426,0.965441401614337,0.965441401614337,NA,NA,NA,0.965441401614337,NA,NA,0.965441401614337,0.965441401614337,27.922466715586
"3",4576,Inf,27.9961944580078,27.9028585561117,0.965314943219674,0.965314943219674,NA,NA,NA,0.965314943219674,NA,NA,0.965314943219674,0.965314943219674,27.9186346430204
"4",4721,Inf,27.933969116211,27.9373404947917,0.964838287097649,0.964838287097649,NA,NA,NA,0.964838287097649,NA,NA,0.964838287097649,0.964838287097649,27.9041905181106
"5",4914,Inf,27.8284825642904,27.8820936584473,0.964944918160194,0.964944918160194,NA,NA,NA,0.964944918160194,NA,NA,0.964944918160194,0.964944918160194,27.9074217624301
"6",4994,Inf,28.0057947794597,27.9161633300781,0.964410004155664,0.964410004155664,NA,NA,NA,0.964410004155664,NA,NA,0.964410004155664,0.964410004155664,27.8912122471413
"7",5092,Inf,28.0741312662761,27.893712310791,0.964280606790803,0.964280606790803,NA,NA,NA,0.964280606790803,NA,NA,0.964280606790803,0.964280606790803,27.8872911148728
"8",5156,Inf,27.8540766398112,27.8546021016439,0.964048832734302,0.964048832734302,NA,NA,NA,0.964048832734302,NA,NA,0.964048832734302,0.964048832734302,27.8802676586152
"9",5254,Inf,27.7207224527995,27.8723602549235,0.964006035694816,0.964006035694816,NA,NA,NA,0.964006035694816,NA,NA,0.964006035694816,0.964006035694816,27.8789707786308
"10",5318,Inf,27.8700780232748,27.8367804718018,0.9635356741167,0.963535674116699,NA,NA,NA,0.963535674116699,NA,NA,0.963535674116699,0.963535674116699,27.8647173974757
"11",5416,Inf,27.6509897867839,27.887500559489,0.963078288974992,0.963078288974992,NA,NA,NA,0.963078288974992,NA,NA,0.963078288974992,0.963078288974992,27.8508572416664
"12",5480,Inf,27.8503840128581,27.8517432403565,0.963217733789993,0.963217733789993,NA,NA,NA,0.963217733789993,NA,NA,0.963217733789993,0.963217733789993,27.855082842121
"13",5578,Inf,27.9356246948242,27.8793035888672,0.96293082428368,0.96293082428368,NA,NA,NA,0.96293082428368,NA,NA,0.96293082428368,0.96293082428368,27.846388614657
"14",5642,Inf,27.8700551350912,27.8661026763916,0.962991540681002,0.962991540681002,NA,NA,NA,0.962991540681002,NA,NA,0.962991540681002,0.962991540681002,27.8482285054849
"15",5740,Inf,27.6894190470378,27.8184849802653,0.96260064338775,0.96260064338775,NA,NA,NA,0.96260064338775,NA,NA,0.96260064338775,0.96260064338775,27.8363831329621
"16",5804,Inf,27.7054331461589,27.8440106455485,0.962437724077487,0.962437724077487,NA,NA,NA,0.962437724077487,NA,NA,0.962437724077487,0.962437724077487,27.8314461841663
"17",5902,Inf,27.7903254191081,27.833877512614,0.962084028065078,0.962084028065078,NA,NA,NA,0.962084028065078,NA,NA,0.962084028065078,0.962084028065078,27.8207281231842
"18",5966,Inf,27.7457748413086,27.8553422546387,0.961570922208428,0.961570922208428,NA,NA,NA,0.961570922208428,NA,NA,0.961570922208428,0.961570922208428,27.8051794608615
"19",6031,Inf,27.7882069905599,27.8097267913819,0.96129476893646,0.96129476893646,NA,NA,NA,0.96129476893646,NA,NA,0.96129476893646,0.96129476893646,27.7968111798927
"20",6064,Inf,27.7464869181315,27.805905380249,0.961171625503326,0.961171625503326,NA,NA,NA,0.961171625503326,NA,NA,0.961171625503326,0.961171625503326,27.7930795607068
"21",6128,Inf,27.9660125732422,27.7813623046875,0.960936111715637,0.960936111715637,NA,NA,NA,0.960936111715637,NA,NA,0.960936111715637,0.960936111715637,27.7859427792617
"22",6193,Inf,27.7843694051107,27.7111177062989,0.96067297554947,0.96067297554947,NA,NA,NA,0.96067297554947,NA,NA,0.96067297554947,0.96067297554947,27.7779689560445
"23",6258,Inf,27.7757990519206,27.6564547220866,0.960335435178557,0.960335435178557,NA,NA,NA,0.960335435178557,NA,NA,0.960335435178557,0.960335435178557,27.7677404599563
"24",6290,Inf,27.6103429158529,27.6566105143229,0.960066064839205,0.960066064839205,NA,NA,NA,0.960066064839205,NA,NA,0.960066064839205,0.960066064839205,27.7595777224002
